Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
1,1698167019,790078819,0.9225598528369338,-0.6135404622191145,-0.1254802427421646,0.05266332266566211,0.970144092583598,-0.07893277345639656,0.22319639635406494,95.94155883789062,0.0,0.476301034638421,-0.2964417872588562,-0.19634954084933295,0.8697671067310296,0.3041116911982833,0.5303738574113818,-0.4298981158048872
102,1698167019,890081095,0.923369591046643,-0.6132785680175459,-0.12586070119940224,0.05238392729021689,0.9698026087358258,-0.07937993208859238,0.22458328217489967,95.94155883789062,0.0,0.47668452983539233,-0.2956747968649135,-0.19558255045539025,0.8709175923219437,0.30449518639525464,0.5253884198507542,-0.4306651061988299
202,1698167019,990081503,0.924176770814373,-0.6132071777474934,-0.12486665776171049,0.0522241807588443,0.9696648394297432,-0.07942081502282342,0.22520006274170642,95.94155883789062,0.0,0.4770680250323637,-0.2964417872588562,-0.19596604565236161,0.870150601928001,0.3052621767891973,0.5257719150477256,-0.43104860139580126
302,1698167020,80082724,0.9230840619976411,-0.6120889878942049,-0.12351195693889602,0.05218706460378796,0.9703924728850545,-0.07777628991990866,0.22263379703531844,95.94155883789062,0.0,0.4770680250323637,-0.29950974883462705,-0.19634954084933295,0.8693836115340582,0.304878681592226,0.5330583237901813,-0.4302816110018586
402,1698167020,190080874,0.9187059912613976,-0.6091652287048436,-0.12447991375289003,0.05204807265797877,0.9722494478083338,-0.07378092825761871,0.21582025853571776,95.94155883789062,0.0,0.47668452983539233,-0.3029612056073692,-0.19558255045539025,0.8705340971249723,0.30449518639525464,0.5541505596236057,-0.4306651061988299
502,1698167020,290081395,0.915814790520828,-0.6077697372550634,-0.12361359648407041,0.0523022249756741,0.9735081319862277,-0.07127928964718647,0.21086881487472758,95.94155883789062,0.0,0.47668452983539233,-0.30679615757708273,-0.19673303604630432,0.870150601928001,0.3041116911982833,0.5698738626994312,-0.42951462060791584
602,1698167020,390079700,0.9160379168497762,-0.6071539083328932,-0.12355488205330364,0.05210627759594093,0.9735699096794166,-0.0704556723291656,0.2109089022268924,95.94155883789062,0.0,0.4759175394414496,-0.30679615757708273,-0.1951990552584189,0.8693836115340582,0.30449518639525464,0.5710243482903453,-0.4306651061988299
702,1698167020,490094375,0.9156799843746466,-0.607104416315635,-0.12407515552379103,0.05228838653880252,0.9735494373672338,-0.07077409714152919,0.2108517128432036,95.94155883789062,0.0,0.47668452983539233,-0.30679615757708273,-0.19596604565236161,0.871301087518915,0.304878681592226,0.5691068723054885,-0.4302816110018586
802,1698167020,590080315,0.9148512224995566,-0.6066980828075015,-0.12492655260874272,0.05188225065936122,0.9737919404656965,-0.07056053037050874,0.20990164435850744,95.94155883789062,0.0,0.47668452983539233,-0.3064126623801114,-0.19558255045539025,0.8720680779128577,0.3041116911982833,0.5698738626994312,-0.4306651061988299
902,1698167020,690081151,0.9148425587406143,-0.6077121322726523,-0.12492979518745359,0.052248366553951764,0.9736365675638505,-0.07115195082893953,0.21033150593328584,95.94155883789062,0.0,0.476301034638421,-0.30602916718314005,-0.19634954084933295,0.8720680779128577,0.30449518639525464,0.5683398819115458,-0.4306651061988299
