Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
5000,0,0,0,0,0,0,0,0,0,0,0,-0.446155893656365,-2.22102896435728,-1.01254272919896,-1.27740990071621,1.64229324109312,-2.87004201915996
5100,0,0,0,0,0,0,0,0,0,0,0,-0.439968770246176,-2.2186970295641,-1.02444577498748,-1.27410618265183,1.64169631783042,-2.87175737560945
5200,0,0,0,0,0,0,0,0,0,0,0,-0.43376435587664,-2.21651379177416,-1.03633779771527,-1.27083851192579,1.64114605886174,-2.8734057299869
5300,0,0,0,0,0,0,0,0,0,0,0,-0.427198311027066,-2.21580205871305,-1.0471817278289,-1.26712204431256,1.64108180200511,-2.8749145993884
5400,0,0,0,0,0,0,0,0,0,0,0,-0.417996842292786,-2.21622836701057,-1.0575407236094,-1.26290848670937,1.64101568392946,-2.87637886940151
5500,0,0,0,0,0,0,0,0,0,0,0,-0.406915127841063,-2.21793785018433,-1.07090957485546,-1.24423989702397,1.6418207356992,-2.87751993656882
5600,0,0,0,0,0,0,0,0,0,0,0,-0.395804647320192,-2.21998733926504,-1.08585037273707,-1.2209110229022,1.64335873100848,-2.87858780656948
5700,0,0,0,0,0,0,0,0,0,0,0,-0.383666894184319,-2.22201786555136,-1.10149177003825,-1.19681623827356,1.6458625358598,-2.87988385468606
5800,0,0,0,0,0,0,0,0,0,0,0,-0.370592896302232,-2.22405487416588,-1.11735939593547,-1.17156026129055,1.64905971858108,-2.88138941715064
5900,0,0,0,0,0,0,0,0,0,0,0,-0.357518898420145,-2.22609188278041,-1.13322702183269,-1.14630428430754,1.65225690130236,-2.88289497961523
6000,0,0,0,0,0,0,0,0,0,0,0,-0.344444900538059,-2.22812889139493,-1.14909464772992,-1.12104830732453,1.65545408402363,-2.88440054207981
6100,0,0,0,0,0,0,0,0,0,0,0,-0.331600678659489,-2.23156452969246,-1.16481733085682,-1.09638647152147,1.65834087158983,-2.88572670364507
6200,0,0,0,0,0,0,0,0,0,0,0,-0.319936425832343,-2.234651246464,-1.18081332769033,-1.07169806308837,1.66115707367893,-2.88696235974486
6300,0,0,0,0,0,0,0,0,0,0,0,-0.3082953341153,-2.23768524442286,-1.19682088728504,-1.04699038831542,1.66398116857844,-2.88820129923124
6400,0,0,0,0,0,0,0,0,0,0,0,-0.296650644830566,-2.24071708713769,-1.21282773745356,-1.02228390651955,1.66680397341604,-2.88944449213982
6500,0,0,0,0,0,0,0,0,0,0,0,-0.285436222197661,-2.24367447582421,-1.2288247784032,-0.997616899191936,1.66959575343952,-2.89066601299262
6600,0,0,0,0,0,0,0,0,0,0,0,-0.282676678160968,-2.24661711020733,-1.24677266813767,-0.970568734496787,1.67122398593717,-2.89109928582194
6700,0,0,0,0,0,0,0,0,0,0,0,-0.280299327954505,-2.24887228611129,-1.26426721679475,-0.945729458275804,1.6615068496148,-2.89147779740769
6800,0,0,0,0,0,0,0,0,0,0,0,-0.277921977748042,-2.25112746201524,-1.28176176545182,-0.920890182054819,1.65178971329242,-2.89185630899344
6900,0,0,0,0,0,0,0,0,0,0,0,-0.274854211349518,-2.25744137450003,-1.29738643857594,-0.896851643101739,1.64478627007178,-2.8920806808101
7000,0,0,0,0,0,0,0,0,0,0,0,-0.271475561131654,-2.2655828738005,-1.31216913543407,-0.873173663855972,1.63900476122303,-2.89223564585345
7100,0,0,0,0,0,0,0,0,0,0,0,-0.267679639831334,-2.27652150581423,-1.32179207987795,-0.854365025463694,1.64332205431567,-2.89218060076324
7200,0,0,0,0,0,0,0,0,0,0,0,-0.265839250388326,-2.28184602845167,-1.32346684337113,-0.842969820785011,1.65973723080959,-2.89222998309381
7300,0,0,0,0,0,0,0,0,0,0,0,-0.263608736083776,-2.28657640433187,-1.32547527970453,-0.827380567574054,1.67628372464321,-2.89272843745095
7400,0,0,0,0,0,0,0,0,0,0,0,-0.259822821925628,-2.28609592401776,-1.33560724501942,-0.812812463909862,1.69074615308218,-2.89319513373623
7500,0,0,0,0,0,0,0,0,0,0,0,-0.2564566756933,-2.28429103266555,-1.34523282584222,-0.800394585291559,1.69329316286233,-2.89364973249883
7600,0,0,0,0,0,0,0,0,0,0,0,-0.253898076539501,-2.28230278917111,-1.35400574075498,-0.78898003785647,1.69387117367734,-2.89387533101035
7700,0,0,0,0,0,0,0,0,0,0,0,-0.25195514159107,-2.28118881715273,-1.36181481710469,-0.777860051318243,1.69443041131164,-2.89393062339804
7800,0,0,0,0,0,0,0,0,0,0,0,-0.250234077267702,-2.28227533521263,-1.36917459747906,-0.766224157283195,1.69502201689507,-2.89384744932246
7900,0,0,0,0,0,0,0,0,0,0,0,-0.248504730316357,-2.28365741442796,-1.37677395957718,-0.754403238037042,1.69560028167079,-2.89371393094414
8000,0,0,0,0,0,0,0,0,0,0,0,-0.246775383365011,-2.28503949364329,-1.38437332167531,-0.74258231879089,1.69617854644652,-2.89358041256582
8100,0,0,0,0,0,0,0,0,0,0,0,-0.245264318566688,-2.28650820035482,-1.39584598871759,-0.723734354008133,1.69788696368662,-2.89336434353716
8200,0,0,0,0,0,0,0,0,0,0,0,-0.244646320731732,-2.2882124383669,-1.42280496122143,-0.67672341391916,1.7041157893114,-2.89281580888229
8300,0,0,0,0,0,0,0,0,0,0,0,-0.244140432196659,-2.28945084286669,-1.45020495666807,-0.628623323006206,1.71048109142787,-2.89224752856975
8400,0,0,0,0,0,0,0,0,0,0,0,-0.243634543661585,-2.29068924736647,-1.47760495211472,-0.580523232093251,1.71684639354434,-2.8916792482572
8500,0,0,0,0,0,0,0,0,0,0,0,-0.243128655126512,-2.29192765186625,-1.50500494756136,-0.532423141180297,1.72321169566081,-2.89111096794465
8600,0,0,0,0,0,0,0,0,0,0,0,-0.242622766591438,-2.29316605636604,-1.53240494300801,-0.484323050267343,1.72957699777728,-2.8905426876321
8700,0,0,0,0,0,0,0,0,0,0,0,-0.242116878056364,-2.29440446086582,-1.55980493845466,-0.436222959354389,1.73594229989375,-2.88997440731955
8800,0,0,0,0,0,0,0,0,0,0,0,-0.241610989521291,-2.2956428653656,-1.5872049339013,-0.388122868441435,1.74230760201022,-2.889406127007
8900,0,0,0,0,0,0,0,0,0,0,0,-0.240704672471053,-2.29666398439642,-1.61444779325257,-0.34004976718149,1.74849671408443,-2.88891375199831
9000,0,0,0,0,0,0,0,0,0,0,0,-0.239604452462913,-2.29708158015119,-1.64161015866695,-0.291819266783268,1.75460815249303,-2.88847494283686
9100,0,0,0,0,0,0,0,0,0,0,0,-0.238727817391345,-2.29106034956773,-1.6668901737253,-0.245099079360927,1.76042056305829,-2.88819098163096
9200,0,0,0,0,0,0,0,0,0,0,0,-0.236435863186741,-2.28343000674811,-1.67166250397218,-0.234041113836285,1.76074292434733,-2.88813361431552
9300,0,0,0,0,0,0,0,0,0,0,0,-0.234332832792589,-2.27630777309738,-1.67552768842521,-0.223144662919521,1.76105880719874,-2.88811390358319
9400,0,0,0,0,0,0,0,0,0,0,0,-0.232229802398436,-2.26918553944665,-1.67939287287823,-0.212248212002758,1.76137469005015,-2.88809419285086
9500,0,0,0,0,0,0,0,0,0,0,0,-0.230126772004283,-2.26206330579593,-1.68325805733126,-0.201351761085994,1.76169057290156,-2.88807448211853
9600,0,0,0,0,0,0,0,0,0,0,0,-0.22802374161013,-2.2549410721452,-1.68712324178428,-0.190455310169231,1.76200645575297,-2.8880547713862
9700,0,0,0,0,0,0,0,0,0,0,0,-0.224917836975543,-2.24953278299111,-1.69169257263515,-0.179555117071474,1.76224781658114,-2.88784325497383
9800,0,0,0,0,0,0,0,0,0,0,0,-0.220982340158184,-2.24554229369544,-1.69684438364518,-0.168651828387079,1.76242753170595,-2.88747307410847
9900,0,0,0,0,0,0,0,0,0,0,0,-0.217046843340825,-2.24155180439978,-1.70199619465521,-0.157748539702683,1.76260724683076,-2.88710289324311
10000,0,0,0,0,0,0,0,0,0,0,0,-0.213111346523466,-2.23756131510412,-1.70714800566524,-0.146845251018288,1.76278696195558,-2.88673271237775
10100,0,0,0,0,0,0,0,0,0,0,0,-0.209024689061462,-2.2384202550835,-1.71135442174988,-0.135881359720671,1.76285223679227,-2.88602150004855
10200,0,0,0,0,0,0,0,0,0,0,0,-0.204926733736206,-2.23964164514988,-1.7154901782881,-0.124912938936967,1.76290895827351,-2.88528479876452
10300,0,0,0,0,0,0,0,0,0,0,0,-0.20082877841095,-2.24086303521625,-1.71962593482632,-0.113944518153263,1.76296567975474,-2.88454809748049
10400,0,0,0,0,0,0,0,0,0,0,0,-0.196730823085695,-2.24208442528262,-1.72376169136454,-0.102976097369559,1.76302240123597,-2.88381139619646
10500,0,0,0,0,0,0,0,0,0,0,0,-0.192632867760439,-2.24330581534899,-1.72789744790275,-0.0920076765858545,1.76307912271721,-2.88307469491243
10600,0,0,0,0,0,0,0,0,0,0,0,-0.18750161201011,-2.24378994679317,-1.72885021268704,-0.0860596688242568,1.76195404800271,-2.88232850819602
10700,0,0,0,0,0,0,0,0,0,0,0,-0.17678139552197,-2.2453534768511,-1.72595989661026,-0.0845411489466956,1.76003092243019,-2.88184475435202
10800,0,0,0,0,0,0,0,0,0,0,0,-0.164983482839684,-2.24726124672482,-1.72150858344094,-0.0852982941519134,1.75775429919399,-2.88144280435589
