Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
5200,0,0,0,0,0,0,0,0,0,0,0,-0.163315915385697,-2.29511032597951,-0.808522248588635,-1.44332621111247,1.56647284545074,-2.87483220325355
5300,0,0,0,0,0,0,0,0,0,0,0,-0.149092737839208,-2.29489440786889,-0.808612541323009,-1.4473232277974,1.56644002681724,-2.87497085019285
5400,0,0,0,0,0,0,0,0,0,0,0,-0.134869560292719,-2.29467848975828,-0.808702834057382,-1.45132024448233,1.56640720818373,-2.87510949713215
5500,0,0,0,0,0,0,0,0,0,0,0,-0.118797321332051,-2.2942078893719,-0.808687150847128,-1.459121938267,1.5662988127134,-2.87521098467317
5600,0,0,0,0,0,0,0,0,0,0,0,-0.0999351558504346,-2.29351824791394,-0.808529724681145,-1.47259257632106,1.56613632274656,-2.87522550812599
5700,0,0,0,0,0,0,0,0,0,0,0,-0.0779392257103465,-2.29291227865406,-0.808270360167278,-1.49223562808564,1.56603854668639,-2.87511103921698
5800,0,0,0,0,0,0,0,0,0,0,0,-0.0614122031199906,-2.29252181182189,-0.808051615993195,-1.51325693324979,1.56583019222579,-2.87483233641061
5900,0,0,0,0,0,0,0,0,0,0,0,-0.0467029290361557,-2.2922029734114,-0.807846373155769,-1.5347363405186,1.56558508385768,-2.8744990457512
6000,0,0,0,0,0,0,0,0,0,0,0,-0.031993654952321,-2.29188413500091,-0.807641130318343,-1.5562157477874,1.56533997548957,-2.87416575509179
6100,0,0,0,0,0,0,0,0,0,0,0,-0.0172843808684861,-2.29156529659043,-0.807435887480918,-1.5776951550562,1.56509486712147,-2.87383246443238
6200,0,0,0,0,0,0,0,0,0,0,0,-0.00257510678465125,-2.29124645817994,-0.807230644643492,-1.59917456232501,1.56484975875336,-2.87349917377297
6300,0,0,0,0,0,0,0,0,0,0,0,0.0074295834694668,-2.29172426621614,-0.807181629443821,-1.60726805217383,1.56572471801933,-2.87429067016979
6400,0,0,0,0,0,0,0,0,0,0,0,0.0171764389017739,-2.29224573447864,-0.807141176303325,-1.61462792651963,1.566661062617,-2.87514381054634
6500,0,0,0,0,0,0,0,0,0,0,0,0.0238068924222091,-2.29348206748497,-0.808917800115472,-1.6194557750138,1.56717850629467,-2.87557734624479
6600,0,0,0,0,0,0,0,0,0,0,0,0.0243208383399378,-2.29486870211942,-0.819797890200032,-1.61891722230219,1.56701693674498,-2.87546986352267
6700,0,0,0,0,0,0,0,0,0,0,0,0.0242958788623586,-2.29632778820772,-0.832826905799206,-1.61801260692496,1.56686790279224,-2.87549510042095
6800,0,0,0,0,0,0,0,0,0,0,0,0.0241554153405616,-2.29774810346881,-0.846205108341971,-1.617061259085,1.56670762096661,-2.87546786474924
6900,0,0,0,0,0,0,0,0,0,0,0,0.0239081292183942,-2.29913256197175,-0.859906252454294,-1.61606669125888,1.56653693667378,-2.87539210041854
7000,0,0,0,0,0,0,0,0,0,0,0,0.0236608430962267,-2.30051702047468,-0.873607396566616,-1.61507212343277,1.56636625238096,-2.87531633608785
7100,0,0,0,0,0,0,0,0,0,0,0,0.0234135569740592,-2.30190147897761,-0.887308540678938,-1.61407755560666,1.56619556808813,-2.87524057175715
7200,0,0,0,0,0,0,0,0,0,0,0,0.0208780281443083,-2.30701128688741,-0.897046983226014,-1.6139771589031,1.56600996287274,-2.87513213424383
7300,0,0,0,0,0,0,0,0,0,0,0,0.01730599628193,-2.31485438023875,-0.901965782225638,-1.61473910863116,1.56579023742754,-2.87521935066869
7400,0,0,0,0,0,0,0,0,0,0,0,0.0137339644195517,-2.32269747359009,-0.906884581225261,-1.61550105835923,1.56557051198235,-2.87530656709356
7500,0,0,0,0,0,0,0,0,0,0,0,0.00918585591428936,-2.33751188298556,-0.90822857048501,-1.61545871513631,1.56558020986834,-2.87518282716922
7600,0,0,0,0,0,0,0,0,0,0,0,0.00444678415877758,-2.35369018647685,-0.908873170724513,-1.615259017061,1.56563479298473,-2.87501781496326
7700,0,0,0,0,0,0,0,0,0,0,0,-0.000286647878326052,-2.36986511130498,-0.909516658833755,-1.61506118915336,1.56568735373866,-2.87485947062445
7800,0,0,0,0,0,0,0,0,0,0,0,-0.00501472236149217,-2.38603682651006,-0.910159090454456,-1.61486513784581,1.56573799331227,-2.87470746054835
7900,0,0,0,0,0,0,0,0,0,0,0,-0.00923738737753765,-2.40208401498472,-0.910678787605679,-1.61453086219835,1.56579390402914,-2.87459531763342
8000,0,0,0,0,0,0,0,0,0,0,0,-0.00944590518663599,-2.41714216653067,-0.910223682621396,-1.61309875818774,1.5658916800975,-2.87479981432272
